Year,Team,Adjusted SRS
1995,Houston Rockets,14.68
2001,Los Angeles Lakers,7.19
1994,Houston Rockets,1.1
2011,Dallas Mavericks,0.79
2006,Miami Heat,-0.54
2010,Los Angeles Lakers,-2.2
2016,Cleveland Cavaliers,-3.42
2022,Golden State Warriors,-4.41
2019,Toronto Raptors,-4.97
2003,San Antonio Spurs,-6
1993,Chicago Bulls,-6.99
2002,Los Angeles Lakers,-7.83
2004,Detroit Pistons,-8.58
2012,Miami Heat,-9.19
2018,Golden State Warriors,-9.96
2021,Milwaukee Bucks,-10.29
1989,Detroit Pistons,-11.08
1990,Detroit Pistons,-11.82
1988,Los Angeles Lakers,-12.25
1998,Chicago Bulls,-12.65
2009,Los Angeles Lakers,-12.79
2014,San Antonio Spurs,-13.84
2000,Los Angeles Lakers,-14.85
2005,San Antonio Spurs,-16.15
1984,Boston Celtics,-16.89
1985,Los Angeles Lakers,-17.15
2020,Los Angeles Lakers,-17.66
2007,San Antonio Spurs,-18.04
1999,San Antonio Spurs,-18.85
2013,Miami Heat,-19.96
1997,Chicago Bulls,-21.98
1991,Chicago Bulls,-25.29
2008,Boston Celtics,-25.95
1986,Boston Celtics,-25.98
2015,Golden State Warriors,-27.39
1992,Chicago Bulls,-28.21
1987,Los Angeles Lakers,-30.31
1996,Chicago Bulls,-30.7
2017,Golden State Warriors,-31.63
