Year,MVP,DPOY,FMVP,,,,,,,,,,,,,,
2022-23,Joel Embiid,Jaren Jackson Jr.,Nikola Jokic,,,,,,,,,,,,,,
2021-22,Nikola Jokic,Marcus Smart,Stephen Curry,,,,,,,,,,,,,,
2020-21,Nikola Jokic,Rudy Gobert,Giannis Antetokounmpo,,,,,,,,,,,,,,
2019-20,Giannis Antetokounmpo,Giannis Antetokounmpo,LeBron James,,,,,,,,,,,,,,
2018-19,Giannis Antetokounmpo,Rudy Gobert,Kawhi Leonard,,,,,,,,,,,,,,
2017-18,James Harden,Rudy Gobert,Kevin Durant,,,,,,,,,,,,,,
2016-17,Russell Westbrook,Draymond Green,Kevin Durant,,,,,,,,,,,,,,
2015-16,Stephen Curry,Kawhi Leonard,LeBron James,,,,,,,,,,,,,,
2014-15,Stephen Curry,Kawhi Leonard,Andre Iguodala,,,,,,,,,,,,,,
2013-14,Kevin Durant,Joakim Noah,Kawhi Leonard,,,,,,,,,,,,,,
2012-13,LeBron James,Marc Gasol,LeBron James,,,,,,,,,,,,,,
2011-12,LeBron James,Tyson Chandler,LeBron James,,,,,,,,,,,,,,
2010-11,Derrick Rose,Dwight Howard,Dirk Nowitzki,,,,,,,,,,,,,,
2009-10,LeBron James,Dwight Howard,Kobe Bryant,,,,,,,,,,,,,,
2008-09,LeBron James,Dwight Howard,Kobe Bryant,,,,,,,,,,,,,,
2007-08,Kobe Bryant,Kevin Garnett,Paul Pierce,,,,,,,,,,,,,,
2006-07,Dirk Nowitzki,Marcus Camby,Tony Parker,,,,,,,,,,,,,,
2005-06,Steve Nash,Ben Wallace,Dwyane Wade,,,,,,,,,,,,,,
2004-05,Steve Nash,Ben Wallace,Tim Duncan,,,,,,,,,,,,,,
2003-04,Kevin Garnett,Metta World Peace (1),Chauncey Billups,,,,,,,,,,,,,,
2002-03,Tim Duncan,Ben Wallace,Tim Duncan,,,,,,,,,,,,,,
2001-02,Tim Duncan,Ben Wallace,Shaquille O'Neal,,,,,,,,,,,,,,
2000-01,Allen Iverson,Dikembe Mutombo,Shaquille O'Neal,,,,,,,,,,,,,,
1999-00,Shaquille O'Neal,Alonzo Mourning,Shaquille O'Neal,,,,,,,,,,,,,,
1998-99,Karl Malone,Alonzo Mourning,Tim Duncan,,,,,,,,,,,,,,
1997-98,Michael Jordan,Dikembe Mutombo,Michael Jordan,,,,,,,,,,,,,,
1996-97,Karl Malone,Dikembe Mutombo,Michael Jordan,,,,,,,,,,,,,,
1995-96,Michael Jordan,Gary Payton,Michael Jordan,,,,,,,,,,,,,,
