Year,Team,Adjusted SRS
2022,Golden State Warriors,-4.41
2021,Milwaukee Bucks,-10.29
2020,Los Angeles Lakers,-17.66
2019,Toronto Raptors,-4.97
2018,Golden State Warriors,-9.96
2017,Golden State Warriors,-31.63
2016,Cleveland Cavaliers,-3.42
2015,Golden State Warriors,-27.39
2014,San Antonio Spurs,-13.84
2013,Miami Heat,-19.96
2012,Miami Heat,-9.19
2011,Dallas Mavericks,0.79
2010,Los Angeles Lakers,-2.20
2009,Los Angeles Lakers,-12.79
2008,Boston Celtics,-25.95
2007,San Antonio Spurs,-18.04
2006,Miami Heat,-0.54
2005,San Antonio Spurs,-16.15
2004,Detroit Pistons,-8.58
2003,San Antonio Spurs,-6.00
2002,Los Angeles Lakers,-7.83
2001,Los Angeles Lakers,7.19
2000,Los Angeles Lakers,-14.85
1999,San Antonio Spurs,-18.85
1998,Chicago Bulls,-12.65
1997,Chicago Bulls,-21.98
1996,Chicago Bulls,-30.70
1995,Houston Rockets,14.68
1994,Houston Rockets,1.10
1993,Chicago Bulls,-6.99
1992,Chicago Bulls,-28.21
1991,Chicago Bulls,-25.29
1990,Detroit Pistons,-11.82
1989,Detroit Pistons,-11.08
1988,Los Angeles Lakers,-12.25
1987,Los Angeles Lakers,-30.31
1986,Boston Celtics,-25.98
1985,Los Angeles Lakers,-17.15
1984,Boston Celtics,-16.89
1984,Boston Celtics,
1983,Philadelphia 76ers,
1982,Los Angeles Lakers,
1981,Boston Celtics,
1980,Los Angeles Lakers,
1979,Seattle SuperSonics,
1978,Washington Bullets,
1977,Portland Trail Blazers,
1976,Boston Celtics,
1975,Golden State Warriors,
1974,Boston Celtics,
1973,New York Knicks,
1972,Los Angeles Lakers,
1971,Milwaukee Bucks,
1970,New York Knicks,
1969,Boston Celtics,
1968,Boston Celtics,
1967,Philadelphia 76ers,
1966,Boston Celtics,
1965,Boston Celtics,
1964,Boston Celtics,
1963,Boston Celtics,
1962,Boston Celtics,
1961,Boston Celtics,
1960,Boston Celtics,
1959,Boston Celtics,
1958,St. Louis Hawks,
1957,Boston Celtics,
1956,Philadelphia Warriors,
1955,Syracuse Nationals,
1954,Minneapolis Lakers,
1953,Minneapolis Lakers,
1952,Minneapolis Lakers,
1951,Rochester Royals,
1950,Minneapolis Lakers,
